model,price,1440p Ultra FPS,Price per FPS,canonical_url
GeForce RTX 2070 8 GB,1111,51.8,21.44787644787645,https://www.finn.no/recommerce/forsale/item/377151492
GeForce RTX 2060 6 GB,1109,40.1,27.65586034912718,https://www.finn.no/recommerce/forsale/item/375321896
Radeon RX 5700 XT 8 GB,1500,53.1,28.248587570621467,https://www.finn.no/recommerce/forsale/item/376193084
GeForce RTX 2080 8 GB,1800,63.2,28.481012658227847,https://www.finn.no/bap/forsale/ad.html?finnkode=369063129
GeForce GTX 1660 Ti 6 GB,1000,33.3,30.030030030030034,https://www.finn.no/recommerce/forsale/item/376565572
GeForce GTX 1070 8 GB,1000,33.1,30.211480362537763,https://www.finn.no/recommerce/forsale/item/377342777
GeForce RTX 2080 SUPER 8 GB,2000,66.1,30.257186081694407,https://www.finn.no/bap/forsale/ad.html?finnkode=373724105
Radeon RX 5700 8 GB,1500,46.7,32.11991434689507,https://www.finn.no/bap/forsale/ad.html?finnkode=371591158
GeForce RTX 2060 SUPER 8 GB,1600,48.3,33.126293995859214,https://www.finn.no/bap/forsale/ad.html?finnkode=361920143
Radeon RX 6600 8 GB,1499,44.8,33.45982142857143,https://www.finn.no/bap/webstore/ad.html?finnkode=365695264
Radeon RX 6700 XT 12 GB,2500,73.4,34.05994550408719,https://www.finn.no/recommerce/forsale/item/377407953
GeForce RTX 2070 SUPER 8 GB,2000,58.4,34.24657534246575,https://www.finn.no/recommerce/forsale/item/377068200
Radeon RX 6650 XT 8 GB,2000,54.5,36.69724770642202,https://www.finn.no/recommerce/forsale/item/367667852
GeForce GTX 1080 Ti 11 GB,1900,50.2,37.84860557768924,https://www.finn.no/recommerce/forsale/item/376707784
Radeon RX 580 8 GB,1000,26.0,38.46153846153846,https://www.finn.no/bap/forsale/ad.html?finnkode=328239638
GeForce GTX 1660 SUPER 6 GB,1300,33.3,39.03903903903904,https://www.finn.no/bap/forsale/ad.html?finnkode=309585615
Radeon RX 6900 XT 16 GB,4000,102.1,39.17727717923604,https://www.finn.no/bap/forsale/ad.html?finnkode=373423240
GeForce GTX 1070 Ti 8 GB,1500,37.9,39.5778364116095,https://www.finn.no/recommerce/forsale/item/377027141
Radeon RX 590 8 GB,1150,29.0,39.6551724137931,https://www.finn.no/bap/forsale/ad.html?finnkode=368624257
GeForce GTX 1080 8 GB,1600,39.4,40.609137055837564,https://www.finn.no/recommerce/forsale/item/354559137
GeForce RTX 3060 Ti 8 GB,3000,70.0,42.857142857142854,https://www.finn.no/recommerce/forsale/item/355431993
GeForce RTX 2080 Ti 11 GB,3250,75.6,42.989417989417994,https://www.finn.no/recommerce/forsale/item/374352532
GeForce RTX 3080 10 GB,4650,102.3,45.45454545454545,https://www.finn.no/recommerce/forsale/item/375377822
GeForce RTX 3070 8 GB,3700,77.7,47.61904761904762,https://www.finn.no/recommerce/forsale/item/376581898
Radeon RX 6600 XT 8 GB,2500,52.2,47.89272030651341,https://www.finn.no/recommerce/forsale/item/367271764
GeForce RTX 3080 10 GB,4650,96.4,48.23651452282157,https://www.finn.no/recommerce/forsale/item/375377822
GeForce RTX 2060 12 GB,2200,44.8,49.10714285714286,https://www.finn.no/bap/forsale/ad.html?finnkode=372209649
Radeon RX 6800 XT 16 GB,5000,99.0,50.505050505050505,https://www.finn.no/bap/forsale/ad.html?finnkode=341971152
GeForce RTX 3060 12 GB,2750,54.0,50.925925925925924,https://www.finn.no/bap/forsale/ad.html?finnkode=360210206
GeForce RTX 3070 Ti 8 GB,4300,82.8,51.932367149758456,https://www.finn.no/recommerce/forsale/item/362958481
Radeon RX 6950 XT 16 GB,5900,110.1,53.58764759309719,https://www.finn.no/recommerce/forsale/item/376713885
Radeon RX 6800 16 GB,5000,89.2,56.053811659192824,https://www.finn.no/recommerce/forsale/item/375099773
Radeon RX 7900 GRE 16 GB,6500,113.9,57.06760316066725,https://www.finn.no/bap/forsale/ad.html?finnkode=373345714
GeForce RTX 4060 8 GB,3499,61.2,57.17320261437908,https://www.finn.no/bap/forsale/ad.html?finnkode=362913580
GeForce RTX 4060 Ti 8 GB,4500,75.7,59.445178335535005,https://www.finn.no/recommerce/forsale/item/375419768
GeForce RTX 4060 Ti 8 GB,4500,75.6,59.523809523809526,https://www.finn.no/recommerce/forsale/item/375419768
Radeon RX 7900 XT 20 GB,8000,125.9,63.54249404289118,https://www.finn.no/recommerce/forsale/item/377358170
GeForce RTX 3090 24 GB,7000,106.0,66.0377358490566,https://www.finn.no/recommerce/forsale/item/377273776
GeForce GTX 1060 6 GB,2200,23.0,95.65217391304348,https://www.finn.no/recommerce/forsale/item/377028227
